index,variance,mean,std,max,min,range
281,2.0546843e-06,0.0011778909,0.001433417,0.010559082,2.7894974e-05,0.010531187
23,1.9982167e-06,0.000978536,0.0014135829,0.012573242,3.528595e-05,0.012537956
289,1.9785098e-06,0.0012233097,0.0014065951,0.0095825195,5.8174133e-05,0.009524345
41,1.3740059e-06,0.0007653698,0.0011721799,0.010070801,2.682209e-06,0.010068119
30,1.1967868e-06,0.00071605877,0.0010939775,0.008544922,3.5017729e-06,0.00854142
218,1.1707041e-06,0.00042462008,0.0010819908,0.013000488,2.130866e-06,0.012998357
172,1.0761328e-06,0.00051934295,0.0010373682,0.009216309,1.6242266e-06,0.009214684
29,9.789197e-07,0.0005960783,0.0009894037,0.008361816,9.201467e-07,0.008360896
31,9.573272e-07,0.0006292771,0.000978431,0.0078125,1.8700957e-06,0.00781063
51,9.2952035e-07,0.0007161288,0.00096411636,0.008300781,4.440546e-06,0.008296341
34,8.8472405e-07,0.00059885875,0.00094059773,0.007080078,4.0233135e-06,0.007076055
28,7.267721e-07,0.00040635758,0.0008525093,0.008178711,1.8775463e-06,0.008176833
37,7.2381283e-07,0.0005290193,0.0008507719,0.007171631,3.2931566e-06,0.0071683377
45,5.988295e-07,0.00046470854,0.00077384076,0.0073547363,1.2889504e-06,0.0073534474
78,5.8349156e-07,0.00019531633,0.0007638662,0.01953125,1.7508864e-06,0.0195295
72,5.5330776e-07,0.00022311766,0.0007438466,0.016601562,1.7955899e-06,0.016599767
250,5.4954666e-07,0.00040445276,0.00074131414,0.008361816,4.053116e-06,0.008357763
50,5.4178236e-07,0.0004977294,0.0007360587,0.008056641,4.2915344e-06,0.008052349
79,5.377579e-07,0.00046681156,0.0007333198,0.0065307617,1.3038516e-06,0.006529458
71,5.3536365e-07,0.000539159,0.0007316855,0.010192871,4.142523e-06,0.010188729
96,5.342489e-07,0.00022174207,0.0007309233,0.018310547,1.2889504e-06,0.018309258
219,5.162371e-07,0.00023342528,0.0007184964,0.012023926,2.3692846e-06,0.0120215565
227,5.0996863e-07,0.0005230207,0.00071412086,0.008605957,3.7252903e-06,0.008602232
232,4.897253e-07,0.00028270125,0.00069980376,0.014953613,3.5017729e-06,0.0149501115
220,4.7301754e-07,0.00021422094,0.0006877627,0.010864258,6.593764e-07,0.010863598
256,4.5436659e-07,0.0004214385,0.0006740672,0.007446289,2.9057264e-06,0.0074433833
247,4.4057498e-07,0.0005423885,0.0006637582,0.005859375,1.66893e-05,0.0058426857
16,4.2219878e-07,0.0005742249,0.0006497683,0.0043945312,3.0755997e-05,0.0043637753
186,4.052611e-07,0.00021141862,0.0006366012,0.013244629,1.9967556e-06,0.013242632
26,3.9457942e-07,0.00037651643,0.00062815554,0.0069274902,6.7055225e-06,0.0069207847
173,3.90533e-07,0.00029172626,0.0006249264,0.008056641,2.2351742e-06,0.008054405
266,3.8639354e-07,0.00016380579,0.0006216056,0.01550293,1.3038516e-06,0.015501626
234,3.7036787e-07,0.00022355253,0.00060857856,0.014465332,2.4586916e-06,0.014462873
226,3.5573743e-07,0.00047285273,0.00059643725,0.005706787,3.784895e-06,0.005703002
212,3.5123634e-07,0.0005892475,0.00059265195,0.004852295,1.4066696e-05,0.004838228
231,3.4834994e-07,0.00041468232,0.00059021177,0.005065918,4.3213367e-06,0.0050615966
293,3.364343e-07,0.0005444593,0.00058002956,0.0040283203,2.7656555e-05,0.0040006638
249,3.3222167e-07,0.00017992314,0.00057638675,0.014465332,1.8924475e-06,0.01446344
99,3.200608e-07,0.00041203806,0.0005657392,0.0050964355,4.917383e-06,0.005091518
69,3.197561e-07,0.0004140534,0.0005654698,0.0049438477,4.2915344e-06,0.004939556
292,3.183809e-07,0.0005389072,0.0005642525,0.0039367676,2.7298927e-05,0.0039094687
197,3.0985262e-07,0.0005544394,0.00055664405,0.0033721924,1.335144e-05,0.003358841
